id_servicio	nombre	categoria	descripcion	duracion_min	precio_desde	precio_hasta	moneda	num_sesiones	requiere_valoracion	profesionales_habilitados	activo	prima	mensualidad
SRV-001	Consulta y valoración	Preventivo	Examen clínico completo, plan de tratamiento por escrito y radiografías periapicales necesarias para el diagnóstico. Es gratuita si el paciente inicia tratamiento de ortodoncia o de implantes dentro de los 30 días siguientes.	30	15000	15000	CRC	1	FALSE	PROF-01;PROF-02;PROF-03;PROF-04;PROF-05;PROF-06	TRUE		
SRV-002	Limpieza dental (profilaxis)	Preventivo	Limpieza y pulido profesional.	45	25000	25000	CRC	1	FALSE	PROF-01;PROF-05;PROF-06	TRUE		
SRV-017	Limpieza profunda (raspado y alisado radicular)	Preventivo	Raspado y alisado radicular. El precio es POR CUADRANTE; la boca completa son 4 cuadrantes, es decir 4 sesiones.	60	35000	35000	CRC	1	TRUE	PROF-05	TRUE		
SRV-018	Aplicación de flúor	Preventivo	Aplicación tópica de flúor.	15	8000	8000	CRC	1	FALSE	PROF-01;PROF-06	TRUE		
SRV-019	Sellantes de fosas y fisuras	Preventivo	Sellado preventivo. El precio es POR PIEZA.	20	12000	12000	CRC	1	FALSE	PROF-01;PROF-06	TRUE		
SRV-004	Extracción simple	Cirugía	Extracción de pieza sin complicaciones. El precio es POR PIEZA.	30	30000		CRC	1	FALSE	PROF-01;PROF-04	TRUE		
SRV-020	Extracción de muela del juicio no retenida	Cirugía	Extracción de cordal que no requiere cirugía. El precio es POR PIEZA.	45	55000		CRC	1	TRUE	PROF-04	TRUE		
SRV-005	Extracción de muela del juicio retenida (con cirugía)	Cirugía	Extracción quirúrgica de cordal retenida o incluida. El precio es POR PIEZA.	60	120000		CRC	1	TRUE	PROF-04	TRUE		
SRV-003	Restauración de resina (una superficie)	Restaurativo	Restauración de una superficie. El precio es POR PIEZA.	45	30000	30000	CRC	1	FALSE	PROF-01	TRUE		
SRV-021	Restauración de resina (dos o tres superficies)	Restaurativo	Restauración de dos o tres superficies. El precio es POR PIEZA.	60	40000	40000	CRC	1	FALSE	PROF-01	TRUE		
SRV-022	Incrustación de porcelana	Restaurativo	Incrustación de porcelana. El precio es POR PIEZA.	60	180000	180000	CRC	2	TRUE	PROF-01;PROF-03	TRUE		
SRV-007	Corona de zirconio	Restaurativo	Corona de zirconio. Requiere dos citas con quince días de diferencia. El precio es POR PIEZA.	60	320000	320000	CRC	2	TRUE	PROF-01;PROF-03	TRUE		
SRV-023	Corona de metal porcelana	Restaurativo	Corona de metal porcelana. El precio es POR PIEZA.	60	250000	250000	CRC	2	TRUE	PROF-01;PROF-03	TRUE		
SRV-006	Endodoncia de pieza anterior (un conducto)	Restaurativo	Tratamiento de conducto en pieza anterior. La mayoría se completa en una sola cita de 90 a 120 minutos. Las endodoncias se realizan los martes y los jueves.	120	130000	130000	CRC	1	TRUE	PROF-03	TRUE		
SRV-024	Endodoncia de premolar (dos conductos)	Restaurativo	Tratamiento de conducto en premolar. La mayoría se completa en una sola cita de 90 a 120 minutos. Las endodoncias se realizan los martes y los jueves.	120	160000	160000	CRC	1	TRUE	PROF-03	TRUE		
SRV-025	Endodoncia de molar (tres o más conductos)	Restaurativo	Tratamiento de conducto en molar. La mayoría se completa en una sola cita de 90 a 120 minutos. Las endodoncias se realizan los martes y los jueves.	120	195000	195000	CRC	1	TRUE	PROF-03	TRUE		
